ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
11.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Blvr. Adolfo López Mateos,1702,Esq. Rosa de Bengala,Lomas de Plateros,01480,,Álvaro Obregón,POINT (479722.05310000014 2141746.3286000006)
12.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. de las Águilas,820,Esq. Rómulo O'Farril,Ampl.Las Águilas,01710,,Álvaro Obregón,POINT (477343.2583999997 2139921.6164999995)
13.0,TIENDAS DE AUTO SERVICIO,MEGA COMERCIAL MEXICANA S.A DE C.V.,Av. de las Torres,446,Entre Prol. Sn. Pedro Prol. Sn Pablo,Olivar de los Padres,01780,,Álvaro Obregón,POINT (476148.6732000001 2138009.465)
14.0,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Sn. Jerónimo,630,,Jardines del Pedregal,01900,,Álvaro Obregón,POINT (477913.16619999986 2137319.8040999994)
15.0,CENTRO COMERCIAL,CENTRO COMERCIAL PED STA. TERESA,Periférico Sur Caseta,4020,Por Camino a  Sta. Teresa,Residencial Pedregal,01990,,Álvaro Obregón,POINT (477572.62710000016 2134989.6129)
16.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Av. Sn. Jerónimo Lidice,630,Esq. Periférico,Jardines del Pedregal,01900,,Álvaro Obregón,POINT (478020.9985999996 2137331.4639999997)
17.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Centenario,394,5 de Mayo,Merced Gómez,01600,Plaza Comercial,Álvaro Obregón,POINT (478036.1001000004 2141314.3927999996)
18.0,CENTRO COMERCIAL,CENTRO COMERCIAL SAN JERONIMO,Periférico Sur,,Esq. San Jerómino,Pedregal de San Angel,,,Álvaro Obregón,POINT (477845.15079999994 2137209.5533000007)
19.0,TIENDAS DEPARTAMENTALES,LIVERPOOL,Camino Real a Toluca,140,entre Jilguero y Av. Jardín,2A SECCION AMPLIACION DE BOSQUES,01140,,Álvaro Obregón,POINT (479339.35869999975 2144524.3498)
20.0,TIENDAS DE AUTO SERVICIO,ISSSTE FARMACIA,Sur 110,S/N,F. Angeles y Camin,BELLAVISTA,01140,,Álvaro Obregón,POINT (479667.17009999976 2144525.0863000005)
